,video_id,video_path,begin_frame,end_frame,captions,subject,predicate,object
64345,v_Dx9wjBdbZ1M,https://www.youtube.com/watch?v=Dx9wjBdbZ1M,10.16,26.36, The man pull out one tire of the roof and pointed on the sides of the tiles.,tire,on,roof
1226,v_QQNW2ha8WIs,https://www.youtube.com/watch?v=QQNW2ha8WIs,39.77,42.6, The boy misses trying to catch the doll and falls on the trampoline.,boy,fall on,trampoline
44233,v_Mnhg-VEP69U,https://www.youtube.com/watch?v=Mnhg-VEP69U,23.61,61.32, He then puts the rubber back on using the machine and ends by moving back from the tire.,man,move back from,tire
32866,v_wtQQ5I0QRuw,https://www.youtube.com/watch?v=wtQQ5I0QRuw,36.91,76.52, She is very thorough in her work making sure not to miss anything.,woman,is,thorough
16394,v_r8ZIHLqFPfg,https://www.youtube.com/watch?v=r8ZIHLqFPfg,35.47,65.94, You can see the difference of the brown and the contact very clearly and it looks pretty great.,contact,is,clear
31829,v_Zest0gXEWEc,https://www.youtube.com/watch?v=Zest0gXEWEc,0.0,2.56,A logo for The Galley with the tagline Reinventing the Kitchen briefly appears.,tagline,is,reinventing
57298,v_jQU4NYJzxco,https://www.youtube.com/watch?v=jQU4NYJzxco,66.88,71.91, Both of the children turn to the camera behind them and the older gives a big smile while the little one gives a very small smile.,children,turn to,camera
73181,v_Vf02ZDnbduk,https://www.youtube.com/watch?v=Vf02ZDnbduk,37.82,72.03, Close ups of her feet are shown as well as several other angles of her running.,runner,have,angles
72989,v_A1SuSeqDTEI,https://www.youtube.com/watch?v=A1SuSeqDTEI,39.01,41.23, The man goes over a rock.,man,go over,rock
23714,v_u0WgmhffTyI,https://www.youtube.com/watch?v=u0WgmhffTyI,34.76,42.61,"As they keep playing, a set of feet appear and hold down the end of the board.",feet,is,4
19720,v_QaNQrUpmmgo,https://www.youtube.com/watch?v=QaNQrUpmmgo,65.26,71.99, People are walking past a window behind her.,people,behind,woman
72405,v_N2nNkWXYAYw,https://www.youtube.com/watch?v=N2nNkWXYAYw,120.72,142.09," Next, then woman put a new nozzle to clean narrow surfaces.",nozzle,is,narrow
57465,v_5OGNGIF22SY,https://www.youtube.com/watch?v=5OGNGIF22SY,0.0,45.6,A buff young man is sitting on a machine with a sliding seat demonstrating weight lifting techniques.,man,demonstrate,weight lifting techniques
32231,v_EgPk-mmJyS8,https://www.youtube.com/watch?v=EgPk-mmJyS8,0.0,19.08,A woman is seen speaking to the camera and leads into her laying out a paid of shorts.,woman,lay out,shorts
68221,v_yRjaK8wT4Rc,https://www.youtube.com/watch?v=yRjaK8wT4Rc,29.9,83.51, He takes a yellow rag and cleans the sink and faucet.,person,clean,faucet
74828,v_sV4vBuWGJng,https://www.youtube.com/watch?v=sV4vBuWGJng,50.52,62.6, She shows how to section the lady's hair and cuts the hair in a slanting manner.,hair,cut in,manner
57328,v_T9JSNxOyUQA,https://www.youtube.com/watch?v=T9JSNxOyUQA,143.7,151.68, A few people are seen buying food from two women at a a concession stand.,women,have,food
49779,v_8UyB9XigBXM,https://www.youtube.com/watch?v=8UyB9XigBXM,118.31,239.02, She finishes braiding her hair and ends by a picture of the braid.,picture,is,braid
71097,v_4uwtqRBE4Kk,https://www.youtube.com/watch?v=4uwtqRBE4Kk,0.0,18.96,a sea is shown with a green forest on seashore.,sea,show,forest
35652,v_-vPshfXc1fc,https://www.youtube.com/watch?v=-vPshfXc1fc,0.0,12.21,A man is welding a circular metal piece.,metal piece,is,circular
