,video_id,video_path,duration,begin_frame,end_grame,captions
0,v_QOlSCBRmfWY,https://www.youtube.com/watch?v=QOlSCBRmfWY,82.73,0.82,19.86,A young woman is seen standing in a room and leads into her dancing.
1,v_QOlSCBRmfWY,https://www.youtube.com/watch?v=QOlSCBRmfWY,82.73,17.37,60.81, The girl dances around the room while the camera captures her movements.
2,v_QOlSCBRmfWY,https://www.youtube.com/watch?v=QOlSCBRmfWY,82.73,56.25,79.41, She continues dancing around the room and ends by laying on the floor.
3,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,0,2.77,The video starts with a title logo sequence.
4,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,3.08,61.72, A man and woman are in a living room demonstrating exercises.
5,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,15.43,55.24, The woman lays on the ground.
6,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,17.59,54, The man starts pointing to different areas of the woman's body as she does an exercise.
7,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,39.81,54.61, The woman begins to do small sit ups.
8,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,56.47,61.72, The woman ends with a final title logo sequence.
9,v_nwznKOuZM7w,https://www.youtube.com/watch?v=nwznKOuZM7w,31.64,0,15.51,Two people are seen moving around a kitchen quickly performing various tasks and sitting down.
10,v_nwznKOuZM7w,https://www.youtube.com/watch?v=nwznKOuZM7w,31.64,11.39,31.64, They then wax down a ski in the kitchen while continuing to move around.
11,v_ogQozSI5V8U,https://www.youtube.com/watch?v=ogQozSI5V8U,36.54,0,7.48,We see a hallway with a wooden floor.
12,v_ogQozSI5V8U,https://www.youtube.com/watch?v=ogQozSI5V8U,36.54,7.48,18.09, A dog in socks walks slowly out onto the floor as a lady films him.
13,v_ogQozSI5V8U,https://www.youtube.com/watch?v=ogQozSI5V8U,36.54,19.37,36.54, The dog turns around and goes back to the other room.
14,v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,145.55,0,145.55,A woman and a man are sitting on the sidewalk playing music.
15,v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,145.55,67.68,72.77, People stand next to them and watch them play.
16,v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,145.55,82.97,87.33, A little boy holding a yellow ball walks by.
17,v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,145.55,98.98,103.33, A man poses for a picture in front of them.
18,v_69IsHpmRyfk,https://www.youtube.com/watch?v=69IsHpmRyfk,94.72,1.88,31.26,A young girl is seen sitting in a chair with a person standing next to her.
19,v_69IsHpmRyfk,https://www.youtube.com/watch?v=69IsHpmRyfk,94.72,29.36,71.51, The person next to her then piercing one ear followed by the other.
20,v_69IsHpmRyfk,https://www.youtube.com/watch?v=69IsHpmRyfk,94.72,55.4,91.4, The person rubs lotion on the piercings afterwards.
21,v_D18b2IZpxk0,https://www.youtube.com/watch?v=D18b2IZpxk0,95.66,0,17.7,A woman is shown riding a camel past pyramids in Egypt.
22,v_D18b2IZpxk0,https://www.youtube.com/watch?v=D18b2IZpxk0,95.66,19.61,88.01, The camel walks as the woman leans forward.
23,v_D18b2IZpxk0,https://www.youtube.com/watch?v=D18b2IZpxk0,95.66,90.87,95.66, And hand covers the lens as the harness is shown.
24,v_pizl41xmw7k,https://www.youtube.com/watch?v=pizl41xmw7k,172.08,0,85.18,A child mops the floor of a hallway in a house.
25,v_pizl41xmw7k,https://www.youtube.com/watch?v=pizl41xmw7k,172.08,27.53,43.02, The child sets the mop down and plays with her family member.
26,v_pizl41xmw7k,https://www.youtube.com/watch?v=pizl41xmw7k,172.08,86.04,168.63, The child walks into the bedroom area and continues to mop the floor.
27,v_oP77DgsbhKQ,https://www.youtube.com/watch?v=oP77DgsbhKQ,214.6,0,40.77,A man is seen kneeling down on the floor speaking to the camera.
28,v_oP77DgsbhKQ,https://www.youtube.com/watch?v=oP77DgsbhKQ,214.6,41.84,119.09, The man mixes up various ingredients and begins laying plaster on the floor.
29,v_oP77DgsbhKQ,https://www.youtube.com/watch?v=oP77DgsbhKQ,214.6,96.56,170.61, He measures the floor and tiles and cuts out a piece of tile to lay on the floor.
30,v_oP77DgsbhKQ,https://www.youtube.com/watch?v=oP77DgsbhKQ,214.6,168.46,214.6, He continues laying tiles on the floor while looking back to speak to the camera.
