,index,video_id,video_path,duration,begin_frame,end_frame,captions,subject,predicate,object
0,0,v_QOlSCBRmfWY,https://www.youtube.com/watch?v=QOlSCBRmfWY,82.73,0.82,19.86,A young woman is seen standing in a room and leads into her dancing.,woman,is,young
1,0,v_QOlSCBRmfWY,https://www.youtube.com/watch?v=QOlSCBRmfWY,82.73,0.82,19.86,A young woman is seen standing in a room and leads into her dancing.,woman,stand in,room
2,1,v_QOlSCBRmfWY,https://www.youtube.com/watch?v=QOlSCBRmfWY,82.73,0.82,19.86,A young woman is seen standing in a room and leads into her dancing.,woman,lead into,dance
3,2,v_QOlSCBRmfWY,https://www.youtube.com/watch?v=QOlSCBRmfWY,82.73,17.37,60.81, The girl dances around the room while the camera captures her movements.,girl,dance around,room
4,3,v_QOlSCBRmfWY,https://www.youtube.com/watch?v=QOlSCBRmfWY,82.73,17.37,60.81, The girl dances around the room while the camera captures her movements.,camera,capture,movements
5,4,v_QOlSCBRmfWY,https://www.youtube.com/watch?v=QOlSCBRmfWY,82.73,56.25,79.41, She continues dancing around the room and ends by laying on the floor.,woman,dance around,room
6,5,v_QOlSCBRmfWY,https://www.youtube.com/watch?v=QOlSCBRmfWY,82.73,56.25,79.41, She continues dancing around the room and ends by laying on the floor.,woman,lay on,floor
7,6,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,0,2.77,The video starts with a title logo sequence.,logo,is,sequence
8,6,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,0,2.77,The video starts with a title logo sequence.,logo,is,title
9,7,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,3.08,61.72, A man and woman are in a living room demonstrating exercises.,man,in,living room
10,7,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,3.08,61.72, A man and woman are in a living room demonstrating exercises.,woman,in,living room
11,7,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,3.08,61.72, A man and woman are in a living room demonstrating exercises.,man,demonstrate,exercises
12,7,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,3.08,61.72, A man and woman are in a living room demonstrating exercises.,woman,demonstrate,exercises
